|Node|Directory Number|Registration Status|Subscriber Type|Supplementary Service Set
|1000|02-6222018|Registered from 10.50.10.88|Public|Abonado Comun
|1000|02-6222022|Not registered|Public|BLOQUEO LD
|1000|02-6222039|Not registered|Public|BLOQUEO LD
|1000|02-6222057|Not registered|Public|BLOQUEO LD
|1000|02-6222086|Registered from 10.50.15.244|Public|BLOQUEO LD
|1000|02-6222112|Not registered|Public|BLOQUEO LD
|1000|02-6222122|Registered from 10.50.15.239|Public|BLOQUEO LD
|1000|02-6222165|Registered from 10.50.14.212|Public|BLOQUEO LD
|1000|02-6222169|Registered from 10.50.15.33|Public|Abonado Comun
|1000|02-6222231|Registered from 10.50.10.150|Public|BLOQUEO LD
|1000|02-6222240|Registered from 10.50.12.1|Public|Abonado Comun
|1000|02-6222594|Registered from 10.50.15.190|Public|Abonado Comun
|1000|02-6222652|Registered from 10.50.12.235|Public|BLOQUEO LD
|1000|02-6222691|Registered from 10.50.12.134|Public|Abonado Comun
|1000|02-6222723|Not registered|Public|BLOQUEO LD
|1000|02-6222777|Registered from MAD 6227095|Public|Abonado Comun
|1000|02-6222804|Registered from 10.50.15.242|Public|Abonado Comun
|1000|02-6222875|Not registered|Public|BLOQUEO LD
|1000|02-6222885|Registered from 10.50.13.28|Public|Abonado Comun
|1000|02-6223249|Registered from 10.50.15.204|Public|BLOQUEO LD
|1000|02-6223620|Registered from 10.50.14.218|Public|Abonado Comun
|1000|02-6223664|Registered from 10.50.14.4|Public|Abonado Comun
|1000|02-6223697|Registered from 10.50.10.151|Public|BLOQUEO LD
|1000|02-6223710|Registered from 10.50.14.51|Public|BLOQUEO LD
|1000|02-6223721|Registered from 10.50.13.102|Public|Abonado Comun
|1000|02-6223737|Not registered|Public|BLOQUEO LD
|1000|02-6223778|Registered from 10.50.13.190|Public|BLOQUEO LD
|1000|02-6223784|Registered from 10.50.13.114|Public|Abonado Comun
|1000|02-6223930|Registered from 10.50.12.8|Public|BLOQUEO LD
|1000|02-6223943|Registered from MAD 6223943|Public|Abonado Comun
|1000|02-6223986|Registered from MAD 6223986|Public|Abonado Comun
|1000|02-6223998|Registered from 10.50.13.84|Public|Abonado Comun
|1000|02-6224013|Not registered|Public|Abonado Comun
|1000|02-6224045|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6224190|Registered from 10.50.14.184|Public|BLOQUEO LD
|1000|02-6224205|Registered from 10.50.14.151|Public|BLOQUEO LD
|1000|02-6224220|Not registered|Public|BLOQUEO LD
|1000|02-6224257|Registered from 10.50.15.55|Public|Abonado Comun
|1000|02-6224324|Registered from 10.50.14.75|Public|Abonado Comun
|1000|02-6224330|Registered from 10.50.13.248|Public|BLOQUEO LD
|1000|02-6224362|Registered from 10.50.15.167|Public|BLOQUEO LD
|1000|02-6224385|Registered from 10.50.14.64|Public|BLOQUEO LD
|1000|02-6224415|Registered from 10.50.15.179|Public|BLOQUEO LD
|1000|02-6224457|Registered from 10.50.11.240|Public|BLOQUEO LD
|1000|02-6224642|Registered from 10.50.13.76|Public|BLOQUEO LD
|1000|02-6224733|Registered from 10.50.14.14|Public|Abonado Comun
|1000|02-6224832|Registered from 10.50.14.31|Public|BLOQUEO LD
|1000|02-6224843|Registered from 10.50.14.39|Public|Abonado Comun
|1000|02-6225098|Registered from 10.50.15.58|Public|BLOQUEO LD
|1000|02-6225165|Registered from 10.50.11.249|Public|BLOQUEO LD
|1000|02-6225213|Registered from 10.50.12.216|Public|Abonado Comun
|1000|02-6225329|Registered from 10.50.14.62|Public|Abonado Comun
|1000|02-6225406|Registered from MAD 6223986|Public|Abonado Comun
|1000|02-6225447|Registered from 10.50.11.131|Public|BLOQUEO LD
|1000|02-6225536|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6225642|Registered from 10.50.15.148|Public|BLOQUEO LD
|1000|02-6225741|Registered from 10.50.12.11|Public|Abonado Comun
|1000|02-6225893|Registered from 10.50.13.111|Public|BLOQUEO LD
|1000|02-6226050|Registered from 10.50.14.69|Public|Abonado Comun
|1000|02-6226087|Registered from 10.50.15.191|Public|Abonado Comun
|1000|02-6226127|Registered from 10.50.12.107|Public|Abonado Comun
|1000|02-6226277|Registered from 10.50.12.141|Public|BLOQUEO LD
|1000|02-6226422|Registered from 10.50.14.93|Public|BLOQUEO LD
|1000|02-6226505|Registered from 10.50.15.233|Public|BLOQUEO LD
|1000|02-6226538|Registered from 10.50.15.56|Public|Abonado Comun
|1000|02-6226582|Registered from 10.50.13.228|Public|BLOQUEO LD
|1000|02-6226744|Registered from MAD 6226744|Public|BLOQUEO LD
|1000|02-6226768|Registered from MAD-6230594|Public|BLOQUEO LD
|1000|02-6226839|Registered from 10.50.15.40|Public|Abonado Prueba
|1000|02-6226920|Registered from 10.50.11.46|Public|BLOQUEO LD
|1000|02-6226941|Registered from 10.50.15.240|Public|BLOQUEO LD
|1000|02-6226973|Registered from 10.50.15.221|Public|BLOQUEO LD
|1000|02-6227073|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6227095|Registered from MAD 6227095|Public|Abonado Comun
|1000|02-6227142|Registered from 10.50.13.128|Public|BLOQUEO LD
|1000|02-6227161|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6227190|Registered from 10.50.15.211|Public|BLOQUEO LD
|1000|02-6227222|Registered from MAD 6226744|Public|Abonado Comun
|1000|02-6227224|Not registered|Public|BLOQUEO LD
|1000|02-6227232|Registered from 10.50.14.71|Public|Abonado Comun
|1000|02-6227297|Registered from 10.50.14.25|Public|BLOQUEO LD
|1000|02-6227324|Not registered|Public|BLOQUEO LD
|1000|02-6227422|Not registered|Public|Abonado Comun
|1000|02-6227450|Registered from 10.50.11.159|Public|Abonado Comun
|1000|02-6227500|Not registered|Public|Abonado Comun
|1000|02-6227793|Registered from MAD 6230331|Public|BLOQUEO LD
|1000|02-6227818|Registered from 10.50.13.167|Public|Abonado Comun
|1000|02-6227844|Registered from 10.50.13.6|Public|BLOQUEO LD
|1000|02-6227850|Registered from 10.50.13.192|Public|Abonado Comun
|1000|02-6227873|Not registered|Public|BLOQUEO LD
|1000|02-6227948|Registered from 10.50.15.6|Public|BLOQUEO LD
|1000|02-6227955|Registered from 10.50.10.152|Public|Abonado Comun
|1000|02-6227972|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6228046|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6228071|Not registered|Public|BLOQUEO LD
|1000|02-6228132|Registered from 10.50.11.59|Public|BLOQUEO LD
|1000|02-6228273|Registered from 10.50.15.68|Public|BLOQUEO LD
|1000|02-6228281|Not registered|Public|Abonado P_SIP
|1000|02-6228282|Not registered|Public|BLOQUEO LD
|1000|02-6228283|Not registered|Public|Abonado P_SIP
|1000|02-6228364|Registered from 10.50.14.137|Public|BLOQUEO LD
|1000|02-6228409|Registered from 10.50.15.225|Public|Abonado Comun
|1000|02-6228412|Registered from 10.50.10.90|Public|BLOQUEO LD
|1000|02-6228446|Not registered|Public|BLOQUEO LD
|1000|02-6228508|Registered from 10.50.15.151|Public|Abonado Comun
|1000|02-6228533|Registered from 10.50.14.22|Public|Abonado Comun
|1000|02-6228542|Registered from 10.50.14.34|Public|BLOQUEO LD
|1000|02-6228553|Registered from 10.50.14.103|Public|Abonado Comun
|1000|02-6228554|Registered from 10.50.15.42|Public|BLOQUEO LD
|1000|02-6228601|Registered from 10.50.10.240|Public|Abonado Comun
|1000|02-6228610|Registered from 10.50.15.86|Public|Abonado Comun
|1000|02-6228612|Registered from 10.50.10.20|Public|BLOQUEO LD
|1000|02-6228710|Registered from 10.50.13.154|Public|BLOQUEO LD
|1000|02-6228831|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6228873|Registered from 10.50.13.61|Public|BLOQUEO LD
|1000|02-6228892|Registered from 10.50.15.243|Public|Abonado Comun
|1000|02-6228899|Registered from 10.50.12.129|Public|BLOQUEO LD
|1000|02-6229002|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6229054|Not registered|Public|Abonado Comun
|1000|02-6229174|Registered from 10.50.13.162|Public|BLOQUEO LD
|1000|02-6229246|Registered from 10.50.15.226|Public|Abonado Comun
|1000|02-6229288|Registered from 10.50.15.246|Public|Abonado Comun
|1000|02-6229337|Registered from 10.50.14.172|Public|Abonado Comun
|1000|02-6229375|Registered from 10.50.12.49|Public|BLOQUEO LD
|1000|02-6229483|Not registered|Public|BLOQUEO LD
|1000|02-6229590|Not registered|Public|Abonado Comun
|1000|02-6229687|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6229732|Registered from 10.50.15.208|Public|Abonado Comun
|1000|02-6229897|Registered from 10.50.11.2|Public|Abonado Comun
|1000|02-6229909|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6229913|Registered from 10.50.13.13|Public|BLOQUEO LD
|1000|02-6229997|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6230117|Registered from 10.50.15.205|Public|BLOQUEO LD
|1000|02-6230161|Registered from 10.50.10.216|Public/Suspended|BLOQUEO TOTAL
|1000|02-6230181|Registered from 10.50.15.224|Public|BLOQUEO LD
|1000|02-6230209|Registered from 10.50.14.185|Public|BLOQUEO LD
|1000|02-6230304|Registered from 10.50.11.193|Public|BLOQUEO LD
|1000|02-6230331|Registered from MAD 6230331|Public|Abonado Comun
|1000|02-6230332|Not registered|Public|BLOQUEO LD
|1000|02-6230444|Registered from 10.50.13.155|Public|BLOQUEO LD
|1000|02-6230459|Registered from 10.50.11.78|Public|Abonado Comun
|1000|02-6230485|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6230594|Registered from MAD-6230594|Public|Abonado Comun
|1000|02-6230756|Registered from 10.50.10.17|Public|Abonado Comun
|1000|02-6230773|Not registered|Public|BLOQUEO LD
|1000|02-6230789|Registered from 10.50.10.119|Public|Abonado Comun
|1000|02-6230804|Registered from 10.50.12.2|Public|Abonado Comun
|1000|02-6230909|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6231020|Not registered (on 'MAD 6231034')|Public|Abonado Comun
|1000|02-6231034|Not registered (on 'MAD 6231034')|Public|Abonado Comun
|1000|02-6231070|Registered from 10.50.10.72|Public|BLOQUEO LD
|1000|02-6231191|Registered from 10.50.12.63|Public|Abonado Comun
|1000|02-6231236|Registered from 10.50.15.212|Public|BLOQUEO LD
|1000|02-6231267|Registered from 10.50.14.59|Public|BLOQUEO LD
|1000|02-6231278|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6231350|Registered from UC-MAD|Public|Abonado Comun
|1000|02-6231351|Not registered|Public|BLOQUEO LD
|1000|02-6231352|Not registered (on 'UC-MAD')|Centrex|yealink_SS_3
|1000|02-6231353|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6231373|Registered from 10.50.10.239|Public|Abonado Comun
|1000|02-6231397|Not registered|Public|Abonado Comun
|1000|02-6231428|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6231457|Not registered|Public|Abonado Comun
|1000|02-6231515|Not registered|Public|Abonado Comun
|1000|02-6231575|Registered from 10.50.15.236|Public|BLOQUEO LD
|1000|02-6231658|Not registered|Public|BLOQUEO LD
|1000|02-6231682|Registered from 10.50.11.141|Public/Suspended|BLOQUEO TOTAL
|1000|02-6231731|Registered from 10.50.10.183|Public|BLOQUEO LD
|1000|02-6232100|Not registered (on 'UC-MAD')|Public|Abonado Comun
|1000|02-6232101|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232102|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232103|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232105|Not registered (on 'MAD 6232105')|Public|BLOQUEO LD
|1000|02-6232106|Not registered (on 'MAD 6232105')|Public|BLOQUEO LD
|1000|02-6232108|Not registered|Public|BLOQUEO LD
|1000|02-6232109|Registered from 10.50.12.5|Public|BLOQUEO LD
|1000|02-6232110|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232111|Not registered|Public|BLOQUEO LD
|1000|02-6232112|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6232113|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-6232114|Not registered (on 'UC-MAD')|Public|Custom
|1000|02-6232115|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232116|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232117|Not registered|Public|BLOQUEO LD
|1000|02-6232118|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6232119|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232120|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232121|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232122|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232123|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232124|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232125|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232126|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232127|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232128|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232129|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232130|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6232131|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6232132|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232133|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232134|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232135|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232136|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232137|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232138|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232139|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232140|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232141|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232142|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232143|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232144|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232145|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232146|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232147|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232148|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232149|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232150|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232151|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232152|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232153|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232154|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6232157|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232158|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232159|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232160|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232161|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232162|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232163|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232164|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232165|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232166|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232167|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232168|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232169|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232170|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232171|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232172|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232173|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232174|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232175|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232176|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232177|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232178|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232179|Not registered (on 'UC-MAD')|Centrex|BLOQUEO LD
|1000|02-6232180|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232181|Not registered (on 'UC-MAD')|Centrex|yealink_SS_3
|1000|02-6232182|Not registered (on 'UC-MAD')|Centrex|yealink_SS
|1000|02-6232183|Not registered (on 'UC-MAD')|Centrex|yealink_SS_3
|1000|02-6232184|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232185|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232186|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232187|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232188|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232189|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232190|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232191|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232192|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232193|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232194|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232195|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6232199|Not registered|Public|BLOQUEO LD
|1000|02-6232200|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232201|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232207|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6232208|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232209|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232210|Not registered|Public|Abonado P_SIP
|1000|02-6232211|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232212|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232215|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232216|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232220|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232222|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232223|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232250|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232251|Not registered (on 'UC-MAD')|Public|advanced_CLIRO
|1000|02-6232252|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232255|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232257|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232260|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232261|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232262|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232265|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232266|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232267|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232268|Registered from UC-MAD|Public|advancedSSS
|1000|02-6232270|Not registered (on 'UC-MAD')|Public|Abonado Comun
|1000|02-6232275|Not registered (on 'UC-MAD')|Public|advancedSSS_2
|1000|02-6232280|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232281|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232282|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232283|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6232299|Registered from 10.50.11.146|Public|BLOQUEO LD
|1000|02-6234000|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6240002|Registered from 10.50.15.232|Public|BLOQUEO LD
|1000|02-6240004|Registered from 10.50.11.192|Public|BLOQUEO LD
|1000|02-6240005|Not registered (on 'UC-MAD')|Public|basicSSS
|1000|02-6240006|Not registered|Public|BLOQUEO LD
|1000|02-6240007|Registered from 10.50.13.236|Public|BLOQUEO LD
|1000|02-6240008|Not registered|Public|BLOQUEO LD
|1000|02-6240009|Registered from 10.50.11.4|Public|BLOQUEO LD
|1000|02-6240010|Registered from 10.50.12.156|Public|BLOQUEO LD
|1000|02-6240011|Registered from 10.50.15.165|Public|BLOQUEO LD
|1000|02-6240012|Not registered|Public|BLOQUEO LD
|1000|02-6240013|Registered from 10.50.15.209|Public|BLOQUEO LD
|1000|02-6240014|Registered from 10.50.10.191|Public|BLOQUEO LD
|1000|02-6240015|Registered from 10.50.14.254|Public|BLOQUEO LD
|1000|02-6240016|Not registered|Public|BLOQUEO LD
|1000|02-6240017|Registered from 10.50.11.139|Public|Custom
|1000|02-6240018|Not registered|Public|BLOQUEO LD
|1000|02-6240019|Registered from 10.50.15.197|Public|BLOQUEO LD
|1000|02-6240020|Registered from 10.50.13.156|Public|BLOQUEO LD
|1000|02-6240021|Registered from 10.50.15.201|Public|BLOQUEO LD
|1000|02-6240022|Registered from 10.50.15.141|Public|BLOQUEO LD
|1000|02-6240023|Registered from 10.50.10.71|Public|BLOQUEO LD
|1000|02-6240024|Registered from 10.50.12.180|Public|BLOQUEO LD
|1000|02-6240025|Registered from 10.50.15.182|Public|BLOQUEO LD
|1000|02-6240026|Registered from 10.50.15.189|Public|BLOQUEO LD
|1000|02-6240027|Registered from 10.50.15.177|Public|BLOQUEO LD
|1000|02-6240028|Not registered|Public|BLOQUEO LD
|1000|02-6240029|Not registered|Public|BLOQUEO LD
|1000|02-6240030|Not registered|Public|BLOQUEO LD
|1000|02-6240031|Registered from 10.50.12.110|Public|BLOQUEO LD
|1000|02-6240032|Not registered|Public|BLOQUEO LD
|1000|02-6240033|Not registered|Public|BLOQUEO LD
|1000|02-6240034|Registered from 10.50.15.164|Public|BLOQUEO LD
|1000|02-6240035|Registered from 10.50.12.219|Public|BLOQUEO LD
|1000|02-6240036|Not registered|Public|BLOQUEO LD
|1000|02-6240037|Not registered|Public|BLOQUEO LD
|1000|02-6240038|Registered from 10.50.12.119|Public|BLOQUEO LD
|1000|02-6240039|Registered from 10.50.15.156|Public|BLOQUEO LD
|1000|02-6240040|Registered from 10.50.15.160|Public|BLOQUEO LD
|1000|02-6240041|Registered from 10.50.15.144|Public|BLOQUEO LD
|1000|02-6240042|Registered from 10.50.15.157|Public|BLOQUEO LD
|1000|02-6240043|Not registered|Public|BLOQUEO LD
|1000|02-6240044|Not registered|Public|BLOQUEO LD
|1000|02-6240046|Not registered|Public|BLOQUEO LD
|1000|02-6240047|Not registered|Public|BLOQUEO LD
|1000|02-6240049|Not registered|Public|BLOQUEO LD
|1000|02-6240050|Not registered|Public|BLOQUEO LD
|1000|02-6240051|Registered from 10.50.10.55|Public|BLOQUEO LD
|1000|02-6240052|Registered from 10.50.13.38|Public|BLOQUEO LD
|1000|02-6240054|Not registered|Public|BLOQUEO LD
|1000|02-6240056|Not registered|Public|BLOQUEO LD
|1000|02-6240057|Registered from 10.50.15.135|Public|BLOQUEO LD
|1000|02-6240058|Registered from 10.50.13.209|Public|BLOQUEO LD
|1000|02-6240059|Registered from 10.50.13.27|Public|BLOQUEO LD
|1000|02-6240060|Registered from 10.50.15.65|Public|BLOQUEO LD
|1000|02-6240061|Registered from 10.50.10.57|Public|BLOQUEO LD
|1000|02-6240062|Not registered|Public|BLOQUEO LD
|1000|02-6240063|Registered from 10.50.15.123|Public|BLOQUEO LD
|1000|02-6240064|Not registered|Public|BLOQUEO LD
|1000|02-6240066|Registered from 10.50.10.182|Public|BLOQUEO LD
|1000|02-6240067|Not registered|Public|BLOQUEO LD
|1000|02-6240068|Registered from 10.50.12.196|Public|BLOQUEO LD
|1000|02-6240070|Registered from 10.50.11.74|Public|BLOQUEO LD
|1000|02-6240071|Registered from 10.50.11.183|Public|BLOQUEO LD
|1000|02-6240073|Registered from 10.50.14.58|Public|BLOQUEO LD
